Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL DIST EDUC BAS Y MEDIA ALBERTO LLERAS CAMARGO,4.75,1.3499999999999999,8.0,2.5,6.0,7.450000000000001,4.0,4.864285714285715
INST EDUC DIST LEONARDO POSADA PEDRAZA - SEDE PRINCIPAL,8.0,9.4,10.0,0.0,0.75,8.5,2.25,5.557142857142857
INST EDUC DIST FE Y ALEGRIA SAN IGNACIO,8.5,6.9,10.0,1.0,1.75,10.0,1.5,5.664285714285714
COL DIST SIMON BOLIVAR,2.0,8.1,8.0,2.0,10.0,9.5,5.25,6.4071428571428575
CENT EDUC DIST CALASANZ (BUENAVISTA),4.5,3.44,10.0,1.0,2.5,10.0,2.25,4.812857142857142
CENT EDUC DIST EL RODEO,4.5,7.65,10.0,1.0,4.0,10.0,3.0,5.735714285714286
COL DIST ANTONIO JOSE URIBE,7.5,0.0,0.0,9.0,10.0,10.0,7.0,6.214285714285714
CENT EDUC DIST ANTONIO VILLAVICENCIO,10.0,9.5,10.0,1.0,5.0,6.05,1.75,6.185714285714285
COL DE EDUC BAS Y MEDIA ESTANISLAO ZULETA,3.0,9.75,10.0,1.0,0.75,6.8500000000000005,1.75,4.728571428571429
CENT EDUC DIST RAFAEL URIBE URIBE,0.0,9.2,10.0,5.0,3.25,10.0,2.75,5.742857142857143
CENT EDUC DIST RAMON DE ZUBIRIA,0.0,0.0,6.0,5.0,8.0,10.0,3.75,4.678571428571429
CENT EDUC DIST REINO DE HOLANDA,3.25,6.75,10.0,0.0,5.75,10.0,6.5,6.035714285714286
COL VIRGINIA GUTIERREZ DE PINEDA (INS EDUC DIST),0.5,1.2299999999999995,10.0,4.5,7.5,10.0,4.5,5.461428571428572
INST EDUC DIST EL BOSQUE,6.0,7.95,10.0,1.0,1.0,8.95,2.5,5.3428571428571425
CENT EDUC DIST ISLA DEL SOL,7.25,9.540000000000001,10.0,0.0,3.75,10.0,3.75,6.327142857142857
CENT EDUC DIST LA GIRALDA,6.5,7.7,10.0,4.5,7.25,10.0,4.0,7.135714285714286
GERARDO MOLINA RAMIREZ (INST EDUC DIST),5.0,2.27,10.0,1.0,3.25,5.25,2.5,4.1814285714285715
INST TEC IND PILOTO,2.0,2.5999999999999996,10.0,4.5,6.5,10.0,6.25,5.978571428571429
COL DIST DE USME,10.0,9.84,10.0,0.0,0.25,2.9000000000000004,0.75,4.82
CENT EDUC DIST MIRAVALLE,5.0,7.3,6.0,6.0,1.0,10.0,3.0,5.471428571428571
CENT EDUC DIST SOTAVENTO,5.5,5.7,10.0,1.0,3.25,10.0,4.0,5.635714285714286
CENT EDUC DIST SAN MARTIN DE PORRES,5.0,9.15,10.0,0.0,10.0,8.950000000000001,8.75,7.4071428571428575
COL DIST TOBERIN,8.5,9.030000000000001,10.0,5.0,6.75,2.6,5.75,6.804285714285714
CENT EDUC DIST PAULO VI,5.5,8.14,8.0,7.0,4.75,10.0,4.25,6.805714285714286
COL DIST EDUC BAS Y MEDIA PROSPERO PINZON,0.5,3.48,8.0,2.0,7.0,10.0,4.5,5.068571428571429
CENT EDUC DIST FRANCISCO DE MIRANDA,8.0,9.34,10.0,1.0,4.5,10.0,4.25,6.727142857142858
CENT EDUC DIST PABLO NERUDA,10.0,5.65,4.0,3.5,4.0,5.65,2.5,5.042857142857143
SALUDCOOP NORTE (INST EDUC DIST),9.5,6.8,10.0,2.0,5.5,2.3500000000000005,7.5,6.235714285714286
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,1.5,6.03,10.0,2.0,10.0,6.9,10.0,6.632857142857143
COL CARLO FEDERICI (INST EDUC DIST),10.0,9.85,10.0,2.5,1.75,4.300000000000001,1.25,5.6642857142857155
CENT EDUC DIST DE USAQUEN (ANTIGUA COLONIA ESCOLAR DE VACACI,10.0,8.95,10.0,0.0,10.0,2.3,4.75,6.571428571428571
CENT EDUC DIST PRADO VERANIEGO II,6.5,8.7,8.0,1.0,10.0,4.05,5.0,6.178571428571429
CENT EDUC DIST ANTONIO JOSE DE SUCRE,8.0,6.8,10.0,1.0,10.0,6.050000000000001,8.75,7.228571428571428
CENT EDUC DIST MANUEL ELKIN PATARROYO,10.0,10.0,10.0,0.0,10.0,7.200000000000001,4.0,7.314285714285715
