NOMBRE SEDE	sector	s11Y2016	eval_puntaje	Tipo de educación	DIRECCIÓN	Latitud	Longitud	Localidad	texto
INSTITUTO EDUCATIVO FUTURO HOY - SEDE PRINCIPAL	NO OFICIAL	75	2545467	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	KR 29 40 A 11	4.630855556	-74.079125	TEUSAQUILLO	C079
CENT PANAMERICANO DE CAPACITACION SEDE CHAPINERO	NO OFICIAL	78	2429872	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	CL 62 13 A 09	4.648886111	-74.06435556	CHAPINERO	C080
COL JAIME QUIJANO CABALLERO	NO OFICIAL	37	2818378	TRADICIONAL	TV 78 B 40 C 41 SUR	4.619216667	-74.15152778	KENNEDY	C081
INST MILIT AQUILEO PARRA	NO OFICIAL	41	2784146	TRADICIONAL	KR 70 173 A 50	4.762108333	-74.06213889	SUBA	C082
LIC PSICOPEDAG TIBABITA	NO OFICIAL	34	2736176	TRADICIONAL	KR 8 190 14	4.7668	-74.01774167	USAQUEN	C083
COL SANTIAGO MAYOR	NO OFICIAL	21	2741429	TRADICIONAL	CL 175 72 35	4.764736111	-74.06280278	SUBA	C084
COL SAN SIMON	NO OFICIAL	24	3066667	TRADICIONAL	CL 169 A 54 50	4.752625	-74.05208889	SUBA	C085
LIC FORMACION EDUC PERSONALIZADA	NO OFICIAL	26	2913462	TRADICIONAL	KR 33 90 31	4.680191667	-74.06211667	BARRIOS UNIDOS	C086
INSTITUTO COMERCIAL LORETO - SEDE PRINCIPAL	NO OFICIAL	77	2931299	TRADICIONAL	DG 8 79 60	4.605416667	-74.152825	KENNEDY	C087
COL LUTERANO SAN LUCAS	NO OFICIAL	62	3025161	TRADICIONAL	CL 35 A SUR 78 21	4.622080556	-74.14959722	KENNEDY	C088
COL SANTA LUISA	NO OFICIAL	142	3077535	TRADICIONAL	KR 73 42 G 25 SUR	4.610766667	-74.15758611	KENNEDY	C089
COL EL MINUTO DE DIOS	NO OFICIAL	150	317.16	TRADICIONAL	 TV 74 81 C 05	4.699147222	-74.09116389	ENGATIVA	C090
COL DE LA PRESENTACION SANS FACON	NO OFICIAL	99	3288586	TRADICIONAL	CL 170 17 A 55	4.749572222	-74.04051944	USAQUEN	C091
LIC  DE CERVANTES PADRES AGUSTINOS	NO OFICIAL	109	357	TRADICIONAL	CL 153 19 39	4.736475	-74.04553889	USAQUEN	C092
COL EMILIO VALENZUELA - SEDE PRINCIPAL	NO OFICIAL	76	3211184	TRADICIONAL	KR 68 180 45	4.765708333	-74.05775278	SUBA	C093
COL HIJAS DE CRISTO REY	NO OFICIAL	79	3389367	TRADICIONAL	AC 138 58 D 50	4.729291667	-74.06721111	SUBA	C094
GIMN MILIT FUERZA AEREA DE COLOMBIA	NO OFICIAL	57	3189474	TRADICIONAL	CL 26 SUR 78 H 70	4.628408333	-74.14870556	KENNEDY	C095
COL RR OBLATAS AL DIVINO AMOR	NO OFICIAL	63	3157302	TRADICIONAL	KR 71 A 52 29	4.669052778	-74.10100556	ENGATIVA	C096
COL PROVINMA	NO OFICIAL	24	3179583	TRADICIONAL	CL 145 11 40	4.723922222	-74.03460833	USAQUEN	C097
LIC LA SABANA	NO OFICIAL	39	3208462	TRADICIONAL	KR 59 173 25	4.757597222	-74.05978333	SUBA	C098
COL LISA MEITNER	NO OFICIAL	11	3170909	TRADICIONAL	AV CORPAS 158 55	4.763825	-74.09163056	SUBA	C099
COL BOGOTANO MIXTO	NO OFICIAL	1	315	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	KR 15 54 A 29	4.642638889	-74.06715833	TEUSAQUILLO	C100
