IDESTABLEC,HORARIO,DIRECCI,NOMBRE_DEL,TIPO_DE_ES,BARRIO,NOMBRE_D_1,POINT_X,POINT_Y
1115172,NOCTURNO,Kr 16  18 39 Sur,DANIS CLUB,Venta y consumo de toda clase de licores.,Restrepo,Antonio Nariuo,-74.10044719,4.583576034
131018,NOCTURNO,AC 72  78 92,NUEVO BARILOCHE VIDEO BAR (Pasarela night club),Expendio de bebidas.,Tabora,Engativa,-74.10078752,4.691863323
1115166,NOCTURNO,KR 16  21 35 Sur,TIENDA BAR AMOR Y LUNA (BAR MOE),Venta y consumo de licores.,Restrepo,Antonio Nariuo,-74.1028401,4.582196114
121829,NOCTURNO,Av caracas  22 41S,TABERNA RESERVADO LA OFICINA,Expendio de bebidas.,Olaya  (Restrepo),Rafael Uribe,-74.1031516,4.581125998
131015,NOCTURNO,AC 80  90 64,BARRA LOS BUCAROS (Club Bucarica),Bar,Primavera Norte,Engativa,-74.10464072,4.704602475
1310185,NOCHE,AC 72  83 35,NOCHES DE FARA0N,Expendio de bebidas.,La Clarita,Engativa,-74.10469959,4.694792646
1310184,NOCHE,AC 72  83 21,MANATIAL SHOW,Bar,La Clarita,Engativa,-74.10481802,4.694890366
1310163,NOCTURNO,KR 94  76 86 P3,BAR WISKERIA EL REY,Venta y consumo de licor.,Santa Rosita,Engativa,-74.10789882,4.706010965
121827,NOCTURNO,Av caracas  27 73 Sur,WISKERIA LA CARACAS SHOW. J,Compra y venta de licores,Olaya,Rafael Uribe,-74.10805158,4.578670304
121825,NOCTURNO,Av caracas  31 56 Sur,CASA CONRADO,Wiskerias,Gustavo restrepo,Rafael Uribe,-74.11115685,4.577627485
121832,NOCTURNO,Av caracas  45C 32Sur,CORPORACIsN CLUB SOCIAL CALI VENTURA (Wiskeria Buenaventura show),Expendio de licores,San jorge,Rafael Uribe,-74.1246809,4.571285899
121826,DIA/NOCHE,Dg 45F  18 11 S,DONDE VIVIANYS,Comercio al por menor de viveres,Marco Fidel,Rafael Uribe,-74.12477206,4.570712575
121833,NOCTURNO,AK 14  48 50 S P 1,CORPORACI N SOCIAL Y CULTURAL CLUB LA 6A 48 (Wiskeria show vereda tropical),Corporaci n Social y Cultural,Marco Fidel,Rafael Uribe,-74.12549878,4.568970875
121854,NOCTURNO,Kr 25  43 22 S,TIENDA VENTA DE LICORES ROCIO,Expendio de bebidas Alcoholicas,Claret,Rafael Uribe,-74.12571656,4.581178052
12610,DIA/NOCHE,Kr 16A  51 02 S,VERANO CLUB SEX (Casa verde) (Grill verano club sexi),Expendio de bebidas alcoholicas,Tunjuelito,Tunjuelito,-74.12617737,4.565609253
12614,DIA/NOCHE,Kr 16  51 84 S,BAR LAS QUINCE LETRAS,Expendio de bebidas alcoholicas,Tunjuelito,Tunjuelito,-74.12659966,4.564644641
158164,NOCTURNO,AC 26  69B 48 S,TOL2 CARIBE,Venta de licores,Carvajal,Kennedy,-74.13568719,4.61448813
159147,NOCTURNO,KR 100  20C 04,TROPICAL HOUSE BAR (Vereda tropical),Expendio de bebidas alcoholicas,Fontibin,Fontibin,-74.1421412,4.67575187
159155,NOCTURNO,CL 17  97 74,RUMBA LA 17 (La Rumbita),Wiskeria,Fontibin,Fontibin,-74.14412696,4.670944169
159151,NOCTURNO,CL 17  97 68 P2,VIDEO CLUB EL RUMBON (Drinks),Expendio y consumo de licores,Fontibin,Fontibin,-74.14415878,4.67098985
159154,NOCTURNO,CL 17  98 48,CORPORACI N PRIVADA VERANO (Tropi Show) (zucanes),Wiskeria,Fontibin,Fontibin,-74.1448601,4.671915381
159149,NOCTURNO,CL 17  100 31,MAR AZUL SHOW WISKERIA CORDOBA (Media luna),Venta y consumo de licores,Fontibyn,Fontibyn,-74.14646808,4.673330004
159203,DIA/NOCHE,CL 17  103A 49,BAR EL CONDADO ROJO,Venta de licores,Fontibdn,Fontibdn,-74.14738232,4.674461106
159205,DIA/NOCHE,CL 17  103A 45,MANANTIAL RIVERA,Venta de licores.,Fontibdn,Fontibdn,-74.14739917,4.674480018
15851,NOCTURNO,AV 1 de mayo  39A 35 S,ARENAS CLUB,Wiskeria,Kennedy,Kennedy,-74.15192928,4.617351811
15878,DIA/NOCHE,KR 80  2 12,TABERNA FAMILIAR LAS FLORES (Bar el ideal am) (Club Privado vereda tropical) (El Tr bol),Taberna ambiente familiar.,SAper Manz.12,Kennedy,-74.15398919,4.632068212
158204,DIA,TV 81  34A 91 S,WISKERIA LOS ARQUIS,Expendio de bebidas.,Maria Paz,Kennedy,-74.15686472,4.633361882
158188,NOCHE,AV 1 de mayo  69A 07 P.1,LABIOS DISCO BAR,Expendio de bebidas alcoholicas,Carvajal,Kennedy,-74.13512269,4.613332003
1581876,NOCTURNO,AV 1 de mayo  69A 07,SEDE SALmN ECLIPSE (Babilonia),CorporaciNn privada,Carvajal,Kennedy,-74.13521277,4.613431439
158182,NOCHE,AV 1 de mayo  69A 08 S p. 2,CORPORACIaN CLUB SOCIAL Y CULTURAL LA VEGA,Corporacian privada,Carvajal,Kennedy,-74.13468127,4.613449509
158175,NOCTURNO,AV 1 de mayo  69A 09 P. 2,RIVER SIDE,Discoteca,Carvajal,Kennedy,-74.1352398,4.613458558
158174,NOCTURNO,AV 1 de mayo  69A 23 S,EL KLAN,Discoteca bar.,Carvajal,Kennedy,-74.13542898,4.613666469
15849,NOCTURNO,KR 79  41F 55 S,CLUB COQUETAS,Wiskeria,Estados Unidos,Kennedy,-74.16092043,4.620269477
158199,DIA/NOCHE,AV 1 de mayo  69A 31 P2,JEGAR BAR,Venta de licores dentro del establecimiento.,Carvajal,Kennedy,-74.13513169,4.613603188
158158,NOCTURNO,AV 1 de mayo   72 A 56 S,KAPITOL NIGHT CLUB (Copa cabana),Expendio de Bebidas,Carvajal,Kennedy,-74.14082506,4.619081189
15841,NOCTURNO,Av 1 de mayo 72B 27 S,BAR TEQUILAZO,Expendio de bebidas alcohclicas,Carvajal,Kennedy,-74.14175295,4.619035999
15845,NOCTURNO,Av 1 de mayo  72B 05 P. 2,VIDEO BAR LA 72 IN (Club privado las barbies),Expendio de bebidas,Carvajal,Kennedy,-74.14187006,4.619054079
15869,NOCTURNO,CL 38  95B 69 S,ESCORPI9N CLUB,Club Privado con Consumo de Licores,Patio Bonito,Kennedy,-74.17207988,4.646799284
15727,NOCTURNO,CL 63  79C 17 S L. 1,CUPIDOS SHOW,Wiskeria,Bosa Centro,Bosa,-74.18343378,4.606995023
15732,NOCTURNO,CL 59B  88C 08 S,WISKERIA LA SIRENITA SHOW,Expendio de bebidas,Libertad,Bosa,-74.19127608,4.626796462
15731,NOCTURNO,CL 59C  88F 40 S,WISKERIA PRIMAVERA,Wiskeria,Libertad,Bosa,-74.19177359,4.627103567
1312157,NOCHE,CL 132  144B 02 P 2,CAF1 BAR TOSCANA (Bar wiskeria tres esquinas),Venta y consumo de bebidas alcoholicas,Toscana,Suba,-74.11803647,4.743578075
1414,NOCTURNO,KR 7  161 71,BARACOA BAR,Taberna Bar,Barrancas norte,Usaquen,-74.02228478,4.735591938
131126,NOCTURNO,TV 91  129D 09 P1,BAR WISKERIA SHOW PUNTO 91(Corprohumana ong),Venta y consumo de bebidas alcoholicas,Rincon,Suba,-74.09062151,4.724172404
131123,NOCTURNO,Kr 58C  128C 86,RESTAURANTE AMIGO DE LAS VILLAS,Expendio de comida,Las villas,Suba,-74.07065018,4.718485947
15733,NOCTURNO,Kr 87F  87D 18,WISKERIA EL MANANTIAL,Venta y consumo de licores,Libertad,Bosa,-74.097385,4.708753021
1310171,DIA/NOCHE,CL 80  90 54,CORPORACI N SOCIAL Y CULTURAL TITANIC CLUB,Corporaci n,Quirigua,Engativa,-74.10351256,4.70591736
1310186,NOCHE,Cl 63  109 24,TABERNA SALSA BAR SORCANA,Taberna.,El muelle,Engativa,-74.13016973,4.700214024
157193,NOCHE,CL 69A Bis  83 17,BARRA TANGA BAR LEONA,Venta y expendio de licores.,Piamonte,Bosa,-74.10685875,4.691336133
1310166,NOCHE,Cl 72  78 98 P. 2,DISCOTECA RMC (Restaurante la parrillada bar 24 horas),Venta de comidas,Tabora,Engativa,-74.10197562,4.690207968
157201,NOCHE,CL 69A Bis  78J 23,BARRA POLA Y TANGA,Venta y consumo de licores.,Bosa Piamonte,Bosa,-74.10423641,4.688735021
141111,DIA/NOCHE,KR 15  104 03 L8,PUNTO EST4TICO,Centro estTtico,Santa Barbara occidental,Usaquen,-74.04526798,4.688034068
14183,DIURNO,KR 15  104 03 L10,BELLEZA Y CORPORAL,Masaje Corporal,Rincon del chico,Usaquen,-74.04526798,4.688034068
15726,NOCTURNO,KR 79C  63 80,TABERNA CASA VERDE J.J. (Wiskeria el condado),Taberna Venta y Consumo de Licores,Bosa Centro,Bosa,-74.10979815,4.680532306
131277,NOCTURNO,CL 72  67 08,DONDE MERCY (Do8a Mercedes),Comercio al por menor,San Fernando,Barrios Unidos,-74.08540922,4.678304547
