OBJECTID,X,Y,Anio
12831,-74.13218973,4.58161842,2010
12833,-74.20021749,4.619728998,2010
12834,-74.12725326,4.712436291,2010
12835,-74.08582237,4.655290189,2010
12836,-74.07842554,4.599064426,2010
12837,-74.06493472,4.640231642,2010
12838,-74.13755102,4.594739374,2010
12839,-74.11369445,4.697569366,2010
12840,-74.06890377,4.603635879,2010
12841,-74.07998556,4.604038263,2010
12842,-74.13826477,4.591449041,2010
12844,-74.07563158,4.609474996,2010
12845,-74.05288654,4.665838249,2010
12846,-74.02932853,4.730948678,2010
12847,-74.13220217,4.583713507,2010
12848,-74.05861991,4.65736209,2010
12849,-74.0667955,4.633301753,2010
12850,-74.07817144,4.601351639,2010
12851,-74.09356732,4.558560687,2010
12852,-74.17809453,4.599576335,2010
12854,-74.18977415,4.617139338,2010
12855,-74.10381509,4.653534941,2010
12856,-74.15461582,4.575645628,2010
12858,-74.10296083,4.58195892,2010
12859,-74.05827146,4.650835854,2010
12861,-74.03484157,4.726793087,2010
12862,-74.11473079,4.61548628,2010
12864,-74.02607314,4.741898133,2010
12868,-74.08912029,4.591708144,2010
12869,-74.05960946,4.726492735,2010
12870,-74.12295303,4.556133913,2010
12872,-74.06632335,4.632387773,2010
12874,-74.08424966,4.597795911,2010
12875,-74.07914547,4.634715662,2010
12876,-74.12158337,4.701270988,2010
12877,-74.09320255,4.713491659,2010
12878,-74.02659838,4.730687433,2010
12879,-74.0585288,4.670344109,2010
12880,-74.17729902,4.597333707,2010
12881,-74.1018999,4.589946297,2010
12882,-74.10249554,4.604318345,2010
12883,-74.09121201,4.696353033,2010
12884,-74.0880346,4.648601945,2010
12885,-74.15543693,4.629386168,2010
12886,-74.05516881,4.687092192,2010
12887,-74.14269894,4.664458153,2010
12888,-74.14545944,4.570642564,2010
12889,-74.10020868,4.585957577,2010
12890,-74.0945459,4.649170035,2010
12891,-74.0761168,4.659121113,2010
12892,-74.06590677,4.63424215,2010
12894,-74.14276808,4.612600811,2010
12896,-74.10209793,4.620118331,2010
12897,-74.06713651,4.626807817,2010
12898,-74.09460523,4.567579429,2010
12900,-74.12707145,4.681118173,2010
12901,-74.08956151,4.619577548,2010
12902,-74.0997304,4.653522145,2010
12903,-74.06890377,4.603635879,2010
12905,-74.07243026,4.621731673,2010
12907,-74.05733455,4.683319448,2010
12908,-74.04834519,4.738917372,2010
12911,-74.1589179,4.582828279,2010
12913,-74.06658473,4.693674063,2010
12914,-74.02477023,4.733196155,2010
12915,-74.12002611,4.713013244,2010
12916,-74.10089417,4.617911322,2010
12918,-74.11821661,4.644261353,2010
12919,-74.09379876,4.571238312,2010
12920,-74.05111363,4.728853401,2010
12921,-74.12091751,4.585397499,2010
12922,-74.0706005,4.626523495,2010
12923,-74.1489437,4.557410623,2010
12924,-74.06710842,4.627372975,2010
12925,-74.06521179,4.627331819,2010
12926,-74.08549268,4.682161311,2010
12928,-74.06658692,4.622298097,2010
12929,-74.10381509,4.653534941,2010
12930,-74.07765319,4.612441761,2010
12932,-74.0674143,4.625123581,2010
12934,-74.13936765,4.5620875,2010
12935,-74.10603288,4.649620961,2010
12936,-74.20008692,4.604169484,2010
12937,-74.06860755,4.639704812,2010
12938,-74.06786281,4.622875328,2010
12939,-74.06895756,4.630412336,2010
12940,-74.11471528,4.747554206,2010
12942,-74.07203082,4.711266325,2010
12945,-74.10971273,4.748910387,2010
12946,-74.06748875,4.650228123,2010
12947,-74.08228272,4.606024799,2010
12948,-74.04716891,4.658475414,2010
12949,-74.07073484,4.657473267,2010
12950,-74.06618374,4.675325509,2010
12952,-74.08221348,4.678913535,2010
12953,-74.0863224,4.616853302,2010
12954,-74.12381525,4.573938585,2010
12955,-74.03021583,4.768195151,2010
12956,-74.07950856,4.603659248,2010
12958,-74.07177733,4.653813603,2010
12959,-74.09673049,4.618820422,2010
12960,-74.18190333,4.604406364,2010
12961,-74.07038537,4.615042608,2010
12962,-74.1090805,4.55313378,2010
12963,-74.08434303,4.591823193,2010
