ID,IDESTABLEC,HORARIO,DIRECCI,NOMBRE_DEL,TIPO_DE_ES,BARRIO,NOMBRE_D_1,POINT_X,POINT_Y
420,1251,NOCTURNO,AK 1 73A 17 S,LATIN POWER DE LA 73 (Salon de diversiones porkis),Expendio y consumo de bebidas.,El Jordan,Usme,-74.11738889,4.518046744
421,1252,NOCTURNO,AK 1 74B 47 S,CORPORACI4N SOCIAL U CULTURAL CLUB PARAISO TROPICAL,Corporaci4n,Sta Librada,Usme,-74.11685608,4.51577047
423,1254,NOCTURNO,AK 1 77 07  S P2,CORPORACI7N SOCIAL Y CULTURAL MOMENTOS CLUB (Video bar punto 54),Corporaci7n,Sta Librada,Usme,-74.11476284,4.511154814
428,12613,DIA/NOCHE,AC 51  15A 17 P1 S,LAS DELICIAS SHOW,Expendio de licores,Tunjuelito,Tunjuelito,-74.06815232,4.640616777
432,12618,DIA/NOCHE,AVENIDA DEL SUR 50 91,GRILL BAR PORKIS,Venta y consumo de licores,Venecia,Tunjuelito,-74.13668656,4.594714881
436,12622,DIA/NOCHE,AVENIDA DEL SUR  52 45 P.2,SEDE SALON CHICAGO (Wiskeria chicago bar),CorporaciNn,Venecia,Tunjuelito,-74.13964182,4.595197512
437,12623,NOCTURNO,AVENIDA DEL SUR 52 83 P. 2,GRILL BAR REINA DE CORAZONES,Consumo de licores.,Venecia,Tunjuelito,-74.1392037,4.595134683
446,12646,NOCTURNO,AVENIDA DEL SUR  51 33,GRILL BAR OBSESI N NIGHT(azafatas),Venta y consumo de licores,Venecia,Tunjuelito,-74.13941636,4.595276819
449,12650,NOCTURNO,AVENIDA DEL SUR  52 45 P.1,SUENO TROPICAL BAR,Servicio de licores bar grill,Venecia,Tunjuelito,-74.13964182,4.595197512
450,12651,NOCTURNO,Kr 46B 55 59 S,BAR BAILEY,Expendio de bebidas Alcoholicas,San Carlos,Tunjuelito,-74.97740213,3.691879226
451,12552,NOCTURNO,Cl 89  45C 25 Este S,WISKERIA SHOW PEQUITAS CLUB,Expendio de bebidas alcoholicas,Santa librada,Usme,-74.97740213,3.691879226
454,121855,NOCTURNO,TV 23 41B 12 S,VIDEO BAR LAS JUANITAS,Venta de bebidas alcoholicas,Inglos,Rafael Uribe,-74.12473066,4.582047544
456,12557,NOCTURNO,Av usme  39 17 S,RUMBA TROPICAL,CorporaciPn Social y Cultural,Santa Librada,Usme,-74.97740213,3.691879226
457,1418,NOCTURNO,CL 187  17A 15  P2,TABERNA BAR YEYOS (Club calle 187),Venta de consumo de licor.,El verbenal II sector,Usaquen,-74.03863251,4.764512949
458,1417,DIA/NOCHE,AK 15  116 59  L203,ABADOD,Sala de masajes,Santa Barbara occidental,Usaquen,-74.04342842,4.697149172
459,14235,NOCTURNO,CL 95  14 45,CORPORACI N CLUB SOCIAL LOS ANGELES A.J. (Cormujer sede los angeles) (Restaurante revista lido de Bogot|),Corporaci n privada,Chico Norte,Chapinero,-74.04957656,4.680505012
716,163125,DIA/NOCHE,Cl 3A  10 47,TIENDA DONDE BETY. BEATRIZ RAMIREZ,Venta y consumo de licor,San Bernardo,Santafe,-74.08294721,4.593045787
717,163122,SIN INFORMACION,Cl 3  10 81,TIENDA NATHALIA DE LA 3a.,Venta y consumo de licores,San Bernardo,Santafe,-74.08309485,4.592366585
718,163324,SIN INFORMACION,Kr 10A  3 70,LA VILLA,Hospedaje,San Bernardo,Santafe,-74.08314405,4.593066422
719,163123,DIA/NOCHE,Cl 3  10 65,LAS DOS MARIAS,Venta de licores,San Bernardo,Santafe,-74.08316579,4.592409951
720,163261,DIA/NOCHE,Kr 10A  3 50,POSADA  LA ESPERANZA,Hospedaje y alojamiento,San Bernardo,Santafe,-74.08319542,4.592941406
721,1614348,DIA/NOCHE,Kr 10A  3 28,POSADA CARACOL,Hospedaje,San Bernardo,Santafe,-74.08325192,4.59280389
722,163129,DIA/NOCHE,Kr 11A  3 02 (No hay Placa),LA TIENDA DE JHONNY DE LA ONCE A,Expendio de comida,San Bernardo,Santafe,-74.08405286,4.593084224
723,13109,DIURNO,KR 69B  73A 13,LICORES LA Cra 63 (DoEa Gloria),Venta y expendio de licores.,Ferias,Engativa,-74.08768575,4.683314277
724,1310165,NOCHE,KR 69  72 17,NIGHT CLASS,"Wiskeria, Bares y Cantinas",Ferias,Engativa,-74.08875049,4.681154695
725,13106,DIURNO,KR 69C  71 29,BAR DO A MARTHA (Grill bar casa gris),Venta y consumo de licores.,Estrada,Engativa,-74.09003552,4.681221098
726,1116181,DIA/NOCHE,CL12B  30 26 (Local),MI TRABAJO ( Punto 12),Expendio de bebidas alcoholicas,Pensilvania,Puente Aranda,-74.09305912,4.614097019
727,1310167,DiA/NOCHE,Ac 72  70G 06 P.2,BAR MANDARINA DE LA 68,Reservado,Bonanza,Engativa,-74.0940053,4.686457762
460,14239,NOCTURNO,CL 86A  13A 44 P. 2,LOS CEREZOS CLUB (Lalos Club),Expendio y consumo de licores,La cabrera,Chapinero,-74.05389977,4.670755231
461,14248,NOCTURNO,CL 86A  14 20 P1,EL CESAR DE LA 86 DK CHE TANGO  (Copacabana 2000),Venta y consumo de licores,La cabrera,Chapinero,-74.05429286,4.671001947
462,14254,SIN INFORMACI,KR 14  85 17,SIN RAZ8N SOCIAL,Amanecedero,La cabrera,Chapinero,-74.05447084,4.669938546
463,14249,NOCTURNO,CL 86A  14 57,SEXI EXTASIS,Venta y consumo de licores,La cabrera,Chapinero,-74.05452954,4.670663962
464,14242,DIA/NOCHE,KR 13  79 40,BLUE MOON  DE LA 79  R.F. (Club Start Zari),Venta y consumo de licores,Espartillal,Chapinero,-74.05573381,4.665112365
465,14241,NOCTURNO,CL 82  15 35,CLUB EL CEDRO,Expendio de bebidas.,Lago Gaitan,Chapinero,-74.05699825,4.667459316
466,14287,DIA/NOCHE,KR 16  80 43 P.2,CENTRO ESTETICO AALUM,Centro estetico,Lago Gaitan,Chapinero,-74.05755926,4.667320753
467,1429,DIA/NOCHE,KR 9  61 48,BAR ZAPPET (Donde peter hostal),Expendio de bebidas alcoholicas,Chapinero Central,Chapinero,-74.06133543,4.647124407
468,1312158,NOCHE,CL 74  20 37,OZ 74 (Platinos oz) (Condtrans),Wiskeria.,San Felipe,Barrios Unidos,-74.06193677,4.661907314
469,14276,DIA/NOCHE,Kr 13  68 14  P2,SALA DE MASAJES BAR SERVICIO DE ACOMPAZAMIENTO (Bar reservado Jhoana),Reservado,Quinta Camacho,Chapinero,-74.06251383,4.654238697
470,131272,DIA/NOCHE,KR 20C  75A 31,CENTRO ESTETICO  AQUARIO,Masaje antiestress.,San Felipe,Barrios Unidos,-74.06264578,4.664926182
471,1312132,DIA/NOCHE,CL 71  14A 27,NOCHES DE PASARELA (Bar pasarela la 71)  (Corporaci n),Bar,Concepcion norte,Barrios Unidos,-74.06307764,4.658391661
472,131271,DIA/NOCHE,CL 71  14A 20,HOSTAL LAS ESTRELLAS (chicas milenium),Servicio alojamiento hostal,Concepcion norte - Alcazares,Barrios Unidos,-74.06309083,4.658704364
473,14211,DIA/NOCHE,KR 13  65 29,NUEVA FIRE BLUE WISKERIA SHOW,Venta y consumo de licores,Chapinero  Norte,Chapinero,-74.06330756,4.652232795
474,142112,DIA/NOCHE,CL 62  13 32 P.2,GAROTAS,"servicio de acompaTamiento, expendio de bebidas alcoh)licas, para el consumo dentro del establecimiento.",Chapinero,Chapinero,-74.06404922,4.649069053
475,14298,DIA/NOCHE,CL 64  13 88 P. 2 Y 3,SALOME CENTRO DE MASAJES               (Axe Man),Servicio de acompaAamiento.,Chapinero Norte,Chapinero,-74.06406037,4.651459515
476,1312140,SIN INFORMACION,CL 67  14A 42,ROMANOS CLUB 1 (Estudio 67),Sala de Proyecciones,La esperanza,Barrios Unidos,-74.06432772,4.654890747
477,142116,NOCHE,CL 61  13 63 P2,SALON EMOCIONES,Venta de bebidas.,Quinta Camacho,Chapinero,-74.06445472,4.647902324
478,1312161,DIA,KR 15  67 24,TANTRA SPA 67,Expendio de bebidas alcoholicas,Chapinero Occidental - 7 de Agosto,Barrios Unidos,-74.0646203,4.655129998
479,131279,DIA/NOCHE,KR 15  66 18,TUNA,Venta de licores,Esperanza - 7 de agosto,Barrios Unidos,-74.06484837,4.653893773
480,131287,DIA/NOCHE,KR 15  66 17,BAR BOHEMIOS LAS CANELAS (Taminango),Reservado,Esperanza - 7 de agosto,Barrios Unidos,-74.06511234,4.653937112
481,1312138,SIN INFORMACION,CL 64  14 89 P.2,CLUB RESERVADO SEXAPILL,Servico de acompaXamiento.,Chapinero,Barrios Unidos,-74.06524046,4.651827399
482,131392,DIA/NOCHE,CL 60  14 13,BA OS TURCOS  DE LA 60 (Ba0os turcos sayonara de la 60),Venta y consumo de licores,Chapinero,Teusaquillo,-74.06543457,4.646937958
483,1312134,SIN INFORMACION,CL 67  16 05,FANTASIAS 2005,Expendio de licores,Esperanza - 7 de agosto,Barrios Unidos,-74.065727,4.655357515
484,131247,DIA/NOCHE,CL 64  15A 19,BAR RESERVADO LO MEJOR DE LA 64 (Bar Yuli`s),Servicio de acompaEamiento,Esperanza,Barrios Unidos,-74.06595825,4.65225559
485,1312186,DIA/NOCHE,CL 64  15A 25,WISKERIA CLAPTON JM2,Expendio y consumo de licores,Esperanza - Chapinero,Barrios Unidos,-74.06602544,4.652304253
486,1312187,DIA/NOCHE,CL 64  15A 31,RESERVADO MEDIAS DE SEDA,Venta y consumo de licores,Esperanza -Chapinero,Barrios Unidos,-74.06607697,4.652324564
487,1312160,DIA/NOCHE,KR 17  66 52,WISKERIA BAR LA SULTANA,Servicio de masajes,Esperanza,Barrios Unidos,-74.06641006,4.655009062
488,1312124,DIA/NOCHE,KR 17  66 32 P. 2,BAR DISCOTECA LAS DIVAS DE JAVIER (Divas de martha),Servicio de masajes.,7 de agosto,Barrios Unidos,-74.06648581,4.65482592
489,14256,DIA/NOCHE,CL 49  13 70,ESTABLO EL RODEO (Mansi-n de la barbie traviesa),Wiskeria.,Marly,Chapinero,-74.06650171,4.636522586
490,1312182,NOCHE,KR 17  66 28,COQUETAS BAR,Venta de licores,7 de agosto,Barrios Unidos,-74.06651472,4.654778002
491,131283,DIA/NOCHE,KR 17  66 41,BAR A DONDE TONNYS,Servicio de masajes.,7 de agosto,Barrios Unidos,-74.06670426,4.655053631
492,131258,DIA/NOCHE,KR 19  67 49,FASHION CLUB 67 (Julianas),venta y consumo de licor,7 de agosto,Barrios Unidos,-74.06674442,4.656743359
493,131284,DIA/NOCHE,KR 17  66 31,BAR PICARDIAS MARINA,Venta de licores,7 de agosto,Barrios Unidos,-74.06675965,4.654910444
494,131285,DIA/NOCHE,CL 66  17 06  P2,BAR  LAS  GOLOSAS,Venta y consumo de licores.,Rafael Uribe,Barrios Unidos,-74.06683604,4.654715868
495,131391,DIA/NOCHE,CL 58  14A 53,QUO BADIS BA3OS TURCOS ROMANOS BAR (Cleopatra),Discoteca,Carlos lleras,Teusaquillo,-74.06700801,4.644874787
496,14262,DIA/NOCHE,KR 13  41 05,WISKERIA PALERMO,Venta de licores.,Sucre,Chapinero,-74.06712267,4.629123829
497,1312178,DIA/NOCHE,KR 21 67 42,LAS PAISAS EXTREMO,Venta de licores.,7 de agosto,Barrios Unidos,-74.06802853,4.657470569
498,131244,DIA/NOCHE,KR 21  67 41,BOHEMIO,Bar,7 de agosto,Barrios Unidos,-74.06817771,4.657593607
499,131230,DIA/NOCHE,KR 21  67 02,VIDEO BAR LA 21,Discoteca,7 de agosto,Barrios Unidos,-74.06821364,4.657184212
500,131242, ,KR 21  67 27,BAR LA GORGONA R.A. (Bar Tentaciones),Venta de licores,7 de agosto,Barrios Unidos,-74.06837031,4.65754164
728,131120,NOCTURNO,KR 101B  138 29 P1,PUNTO DE ENCUENTRO BAR SOLO  ADULTOS,Venta y consumo de licores,Costa azul,Suba,-74.09458745,4.739742778
729,13104,DIA/NOCHE,AV Boyaca  70 89  P2,BAR BOYACA VERGARA (Club Wiskeria MP),Expendio de bebidas,Boyaca Real,Engativa,-74.09628177,4.685640787
730,1116186,NOCTURNO,AC 6  30 05,GOGO GIRLS (Conrrado),Venta y consumo de licor.,Veraguas,Puente Aranda,-74.09882795,4.607181754
731,1115172,NOCTURNO,Kr 16  18 39 Sur,DANIS CLUB,Venta y consumo de toda clase de licores.,Restrepo,Antonio Nariuo,-74.10044719,4.583576034
732,131018,NOCTURNO,AC 72  78 92,NUEVO BARILOCHE VIDEO BAR (Pasarela night club),Expendio de bebidas.,Tabora,Engativa,-74.10078752,4.691863323
733,1115166,NOCTURNO,KR 16  21 35 Sur,TIENDA BAR AMOR Y LUNA (BAR MOE),Venta y consumo de licores.,Restrepo,Antonio Nariuo,-74.1028401,4.582196114
734,121829,NOCTURNO,Av caracas  22 41S,TABERNA RESERVADO LA OFICINA,Expendio de bebidas.,Olaya  (Restrepo),Rafael Uribe,-74.1031516,4.581125998
735,131015,NOCTURNO,AC 80  90 64,BARRA LOS BUCAROS (Club Bucarica),Bar,Primavera Norte,Engativa,-74.10464072,4.704602475
736,1310185,NOCHE,AC 72  83 35,NOCHES DE FARA0N,Expendio de bebidas.,La Clarita,Engativa,-74.10469959,4.694792646
737,1310184,NOCHE,AC 72  83 21,MANATIAL SHOW,Bar,La Clarita,Engativa,-74.10481802,4.694890366
738,1310163,NOCTURNO,KR 94  76 86 P3,BAR WISKERIA EL REY,Venta y consumo de licor.,Santa Rosita,Engativa,-74.10789882,4.706010965
739,121827,NOCTURNO,Av caracas  27 73 Sur,WISKERIA LA CARACAS SHOW. J,Compra y venta de licores,Olaya,Rafael Uribe,-74.10805158,4.578670304
740,121825,NOCTURNO,Av caracas  31 56 Sur,CASA CONRADO,Wiskerias,Gustavo restrepo,Rafael Uribe,-74.11115685,4.577627485
741,121832,NOCTURNO,Av caracas  45C 32Sur,CORPORACIsN CLUB SOCIAL CALI VENTURA (Wiskeria Buenaventura show),Expendio de licores,San jorge,Rafael Uribe,-74.1246809,4.571285899
742,121826,DIA/NOCHE,Dg 45F  18 11 S,DONDE VIVIANYS,Comercio al por menor de viveres,Marco Fidel,Rafael Uribe,-74.12477206,4.570712575
743,121833,NOCTURNO,AK 14  48 50 S P 1,CORPORACI N SOCIAL Y CULTURAL CLUB LA 6A 48 (Wiskeria show vereda tropical),Corporaci n Social y Cultural,Marco Fidel,Rafael Uribe,-74.12549878,4.568970875
744,121854,NOCTURNO,Kr 25  43 22 S,TIENDA VENTA DE LICORES ROCIO,Expendio de bebidas Alcoholicas,Claret,Rafael Uribe,-74.12571656,4.581178052
745,12610,DIA/NOCHE,Kr 16A  51 02 S,VERANO CLUB SEX (Casa verde) (Grill verano club sexi),Expendio de bebidas alcoholicas,Tunjuelito,Tunjuelito,-74.12617737,4.565609253
746,12614,DIA/NOCHE,Kr 16  51 84 S,BAR LAS QUINCE LETRAS,Expendio de bebidas alcoholicas,Tunjuelito,Tunjuelito,-74.12659966,4.564644641
747,158164,NOCTURNO,AC 26  69B 48 S,TOL2 CARIBE,Venta de licores,Carvajal,Kennedy,-74.13568719,4.61448813
748,159147,NOCTURNO,KR 100  20C 04,TROPICAL HOUSE BAR (Vereda tropical),Expendio de bebidas alcoholicas,Fontibin,Fontibin,-74.1421412,4.67575187
749,159155,NOCTURNO,CL 17  97 74,RUMBA LA 17 (La Rumbita),Wiskeria,Fontibin,Fontibin,-74.14412696,4.670944169
750,159151,NOCTURNO,CL 17  97 68 P2,VIDEO CLUB EL RUMBON (Drinks),Expendio y consumo de licores,Fontibin,Fontibin,-74.14415878,4.67098985
751,159154,NOCTURNO,CL 17  98 48,CORPORACI N PRIVADA VERANO (Tropi Show) (zucanes),Wiskeria,Fontibin,Fontibin,-74.1448601,4.671915381
752,159149,NOCTURNO,CL 17  100 31,MAR AZUL SHOW WISKERIA CORDOBA (Media luna),Venta y consumo de licores,Fontibyn,Fontibyn,-74.14646808,4.673330004
753,159203,DIA/NOCHE,CL 17  103A 49,BAR EL CONDADO ROJO,Venta de licores,Fontibdn,Fontibdn,-74.14738232,4.674461106
754,159205,DIA/NOCHE,CL 17  103A 45,MANANTIAL RIVERA,Venta de licores.,Fontibdn,Fontibdn,-74.14739917,4.674480018
755,15851,NOCTURNO,AV 1 de mayo  39A 35 S,ARENAS CLUB,Wiskeria,Kennedy,Kennedy,-74.15192928,4.617351811
756,15878,DIA/NOCHE,KR 80  2 12,TABERNA FAMILIAR LAS FLORES (Bar el ideal am) (Club Privado vereda tropical) (El Tr bol),Taberna ambiente familiar.,SAper Manz.12,Kennedy,-74.15398919,4.632068212
757,158204,DIA,TV 81  34A 91 S,WISKERIA LOS ARQUIS,Expendio de bebidas.,Maria Paz,Kennedy,-74.15686472,4.633361882
758,158188,NOCHE,AV 1 de mayo  69A 07 P.1,LABIOS DISCO BAR,Expendio de bebidas alcoholicas,Carvajal,Kennedy,-74.13512269,4.613332003
759,1581876,NOCTURNO,AV 1 de mayo  69A 07,SEDE SALmN ECLIPSE (Babilonia),CorporaciNn privada,Carvajal,Kennedy,-74.13521277,4.613431439
760,158182,NOCHE,AV 1 de mayo  69A 08 S p. 2,CORPORACIaN CLUB SOCIAL Y CULTURAL LA VEGA,Corporacian privada,Carvajal,Kennedy,-74.13468127,4.613449509
761,158175,NOCTURNO,AV 1 de mayo  69A 09 P. 2,RIVER SIDE,Discoteca,Carvajal,Kennedy,-74.1352398,4.613458558
762,158174,NOCTURNO,AV 1 de mayo  69A 23 S,EL KLAN,"Discoteca, bar.",Carvajal,Kennedy,-74.13542898,4.613666469
763,15849,NOCTURNO,KR 79  41F 55 S,CLUB COQUETAS,Wiskeria,Estados Unidos,Kennedy,-74.16092043,4.620269477
764,158199,DIA/NOCHE,AV 1 de mayo  69A 31 P2,JEGAR BAR,Venta de licores dentro del establecimiento.,Carvajal,Kennedy,-74.13513169,4.613603188
765,158158,NOCTURNO,AV 1 de mayo   72 A 56 S,KAPITOL NIGHT CLUB (Copa cabana),Expendio de Bebidas,Carvajal,Kennedy,-74.14082506,4.619081189
766,15841,NOCTURNO,Av 1 de mayo 72B 27 S,BAR TEQUILAZO,Expendio de bebidas alcohclicas,Carvajal,Kennedy,-74.14175295,4.619035999
767,15845,NOCTURNO,Av 1 de mayo  72B 05 P. 2,VIDEO BAR LA 72 IN (Club privado las barbies),Expendio de bebidas,Carvajal,Kennedy,-74.14187006,4.619054079
768,15869,NOCTURNO,CL 38  95B 69 S,ESCORPI9N CLUB,Club Privado con Consumo de Licores,Patio Bonito,Kennedy,-74.17207988,4.646799284
769,15727,NOCTURNO,CL 63  79C 17 S L. 1,CUPIDOS SHOW,Wiskeria,Bosa Centro,Bosa,-74.18343378,4.606995023
770,15732,NOCTURNO,CL 59B  88C 08 S,WISKERIA LA SIRENITA SHOW,Expendio de bebidas,Libertad,Bosa,-74.19127608,4.626796462
771,15731,NOCTURNO,CL 59C  88F 40 S,WISKERIA PRIMAVERA,Wiskeria,Libertad,Bosa,-74.19177359,4.627103567
772,1312157,NOCHE,CL 132  144B 02 P 2,CAF1 BAR TOSCANA (Bar wiskeria tres esquinas),Venta y consumo de bebidas alcoholicas,Toscana,Suba,-74.11803647,4.743578075
773,1414,NOCTURNO,KR 7  161 71,BARACOA BAR,Taberna Bar,Barrancas norte,Usaquen,-74.02228478,4.735591938
774,131126,NOCTURNO,TV 91  129D 09 P1,BAR WISKERIA SHOW PUNTO 91(Corprohumana ong),Venta y consumo de bebidas alcoholicas,Rincon,Suba,-74.09062151,4.724172404
775,131123,NOCTURNO,Kr 58C  128C 86,RESTAURANTE AMIGO DE LAS VILLAS,Expendio de comida,Las villas,Suba,-74.07065018,4.718485947
776,15733,NOCTURNO,Kr 87F  87D 18,WISKERIA EL MANANTIAL,Venta y consumo de licores,Libertad,Bosa,-74.097385,4.708753021
777,1310171,DIA/NOCHE,CL 80  90 54,CORPORACI N SOCIAL Y CULTURAL TITANIC CLUB,Corporaci n,Quirigua,Engativa,-74.10351256,4.70591736
778,1310186,NOCHE,Cl 63  109 24,TABERNA SALSA BAR SORCANA,Taberna.,El muelle,Engativa,-74.13016973,4.700214024
779,157193,NOCHE,CL 69A Bis  83 17,BARRA TANGA BAR LEONA,Venta y expendio de licores.,Piamonte,Bosa,-74.10685875,4.691336133
780,1310166,NOCHE,Cl 72  78 98 P. 2,DISCOTECA RMC (Restaurante la parrillada bar 24 horas),Venta de comidas,Tabora,Engativa,-74.10197562,4.690207968
781,157201,NOCHE,CL 69A Bis  78J 23,"BARRA, POLA Y TANGA",Venta y consumo de licores.,Bosa Piamonte,Bosa,-74.10423641,4.688735021
782,141111,DIA/NOCHE,KR 15  104 03 L8,PUNTO EST4TICO,Centro estTtico,Santa Barbara occidental,Usaquen,-74.04526798,4.688034068
783,14183,DIURNO,KR 15  104 03 L10,BELLEZA Y CORPORAL,Masaje Corporal,Rincon del chico,Usaquen,-74.04526798,4.688034068
784,15726,NOCTURNO,KR 79C  63 80,TABERNA CASA VERDE J.J. (Wiskeria el condado),Taberna Venta y Consumo de Licores,Bosa Centro,Bosa,-74.10979815,4.680532306
785,131277,NOCTURNO,CL 72  67 08,DONDE MERCY (Do8a Mercedes),Comercio al por menor,San Fernando,Barrios Unidos,-74.08540922,4.678304547
786,159148,NOCTURNO,CL 22  100 93,CASA ASTORIA (Wiskeria show roca bar),Expendio de bebidas alcoholicas.,Fontibin,Fontibin,-74.14179266,4.676206212
787,1310146,SIN INFORMACION,Kr 72  64C 45,WISKERIA VIDEO BAR PUNTO 64 (Tentaciones),Venta de licores.,El encanto,Engativa,-74.10076123,4.675229322
788,1312159,NOCHE,Cl 72  63 08,FUENTE DE SODA MANANTIAL SHOW,Venta y consumo de licores a la mesa,Las Ferias,Engativa,-74.0826966,4.674615372
789,13107,NOCTURNO,Cl 72  63 22,WISKERIA BAR RUMBA 2000,Venta y consumo de licores,Ferias,Engativa,-74.0826725,4.6745778
790,14240,NOCTURNO,KR 15  88 33,HIGH CLASS IN A,Venta de licores,El Chico,Chapinero,-74.05298278,4.673001509
791,1313137,DIA/NOCHE,KR 31  70A  45,PLAY GIRLS (Chicas VIP),Bar.,Alcazares,Barrios Unidos,-74.07321844,4.663998287
501,1312144,DIA/NOCHE,KR 26  71B 61,SCORT FANTASIAS (Girls Angelicales),Sala de video.,Alcazares,Barrios Unidos,-74.06837668,4.663457302
502,131235,NOCTURNO,KR 21  66 99,LOS HELECHOS,Venta de licores.,7 de agosto,Barrios Unidos,-74.06846954,4.657145638
503,131252,SIN INFORMACION,CL 67  21 15 / 27,WISKERIA BRUMAS 2000 (Rumba dos),Wiskeria.,7 de agosto,Barrios Unidos,-74.06859845,4.657170538
504,131237,DIA/NOCHE,KR 21  66 87,LA SOMBRITA,Expendio de licores,7 de agosto,Barrios Unidos,-74.06863623,4.657089235
505,131398,DIA/NOCHE,KR 17  51 54,RESIDENCIAS GALERIAS (Bar Galerias) (Hostal de la carrera 17),Residencias,Galerias,Teusaquillo,-74.06931423,4.639478748
506,1313100,DIA/NOCHE,AC 32  15 45,ROMANOS CLUB,Sala de proyecci4n,Teusaquillo,Teusaquillo,-74.07149754,4.620675054
507,163109,DIA/NOCHE,Kr 8  19 33 P1 (No se visualiza la placa),VIDEO  SHOW,ExhibiciHn de filmes,Nieves,Santafe,-74.07222849,4.606238418
508,1313136,DIA/NOCHE,CL 36  17A 44,STARS CLASS (Golden girls),Bar,Teusaquillo,Teusaquillo,-74.07259224,4.625363207
509,16396,DIA/NOCHE,Kr 12  22 20,VIDEO BAR ALEJANDRA'S,Venta de licores,Alameda,Santafe,-74.07273092,4.609439684
510,163228,DIA/NOCHE,Kr 13  23 30,LA UNION,Hostal,Alameda,Santafe,-74.07276529,4.610641375
511,163226,DIA/NOCHE,Kr 13  20 94,RESIDENCIAS CUATRO ESQUINAS,Residencia,Alameda,Santafe,-74.0737035,4.609648311
512,163221,DIA/NOCHE,Kr 12  20 47,HOSPEDAJE ERAMA,Hospedaje,Alameda,Santafe,-74.07371764,4.608708563
513,163225,DIA/NOCHE,Kr 13  20 92,EL TAUR,Hospedaje,Alameda,Santafe,-74.07374993,4.609592536
514,163219,DIA/NOCHE,Kr 12  20 31,HOSTAL PAR VENEZO,Hospedaje,Alameda,Santafe,-74.07379232,4.608566661
515,163218,DIA/NOCHE,Kr 12  20 17,HOSTAL ALIMA,Alojamiento,Alameda,Santafe,-74.07383284,4.608505957
516,163114,DIA/NOCHE,Kr 9  16 62,PENTAGONO,Club,Veracruz,Santafe,-74.07405177,4.604058308
517,163243,DIA/NOCHE,Kr 13A  20 80,HOSPEDAJE DANDY,Residencia,Alameda,Santafe,-74.07460143,4.609867395
518,163248,DIA/NOCHE,Kr 13A  20 74,RESIDENCIA SUPER N,Hospedaje,Alameda,Santafe,-74.07463312,4.609733384
519,163241,DIA/NOCHE,Kr 13A  20 70,HOSPEDAJE 20/70,Hospedaje,Alameda,Santafe,-74.07470871,4.609635915
520,163240,DIA/NOCHE,Kr 13A  20 56,HOSPEDAJE LOZANO,Hospedaje,Alameda,Santafe,-74.07475298,4.609573923
521,163239,DIA/NOCHE,Kr 13A  20 54,HOSPEDAJE BRISAS DEL MAR,Hospedaje,Alameda,Santafe,-74.07480161,4.609513822
