Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL LISA MEITNER,10.0,10.0,10.0,0.0,4.25,4.050000000000001,4.25,6.078571428571428
COL BOGOTANO MIXTO,0.0,0.0,0.0,10.0,10.0,7.75,10.0,5.392857142857143
CENT EDUC NAL PILOTO BAVARIA,5.5,3.85,10.0,3.5,7.0,2.7,4.5,5.292857142857144
CENT EDUC DIST SIMON BOLIVAR,0.0,2.8299999999999996,10.0,5.0,6.75,7.6000000000000005,3.5,5.097142857142857
COL NAL CLEMENCIA DE CAYCEDO,8.5,5.390000000000001,8.0,2.0,7.25,10.0,8.25,7.055714285714286
COL DEPT INTEGRADO FONTIBON,10.0,6.28,6.0,2.0,3.75,6.450000000000001,2.5,5.282857142857144
COL DIST GUILLERMO LEON VALENCIA,0.0,3.24,10.0,5.5,8.75,10.0,8.5,6.57
COL DIST TOMAS CARRASQUILLA,3.0,5.43,6.0,3.5,10.0,6.550000000000001,10.0,6.354285714285715
CENT EDUC DIST ALVARO GOMEZ HURTADO,6.0,0.34999999999999987,10.0,4.5,7.25,10.0,3.75,5.978571428571429
CENT EDUC DIST ANTONIO VAN UDEN,10.0,9.190000000000001,10.0,1.0,2.0,3.8500000000000005,2.5,5.505714285714285
CENT EDUC DIST RUFINO JOSE CUERVO,8.0,8.95,8.0,2.0,4.25,10.0,4.75,6.564285714285715
CENT EDUC DIST FLORENTINO GONZALEZ,6.5,9.55,10.0,5.5,7.0,10.0,6.0,7.792857142857143
CENT EDUC DIST BRAVO PAEZ,9.0,7.9,10.0,1.0,7.0,10.0,7.25,7.45
COL MARIA CANO (NIS EDUC DIST),0.0,7.4,0.0,3.0,8.0,10.0,10.0,5.485714285714286
CENT EDUC DIST ANTONIO BARAYA,0.0,0.0,0.0,6.0,8.25,10.0,9.75,4.857142857142857
COL DIST REP DE PANAMA,2.75,0.03999999999999982,10.0,3.5,10.0,6.15,10.0,6.062857142857142
CENT EDUC DIST GUILLERMO LEON VALENCIA,2.5,6.65,6.0,2.5,10.0,10.0,7.0,6.378571428571428
CENT EDUC DIST REP DE VENEZUELA,5.0,0.0,0.0,4.5,10.0,10.0,9.0,5.5
CENT EDUC DIST QUIROGA ALIANZA,9.5,5.88,10.0,1.0,7.0,10.0,7.0,7.197142857142857
CENT EDUC DIST EDUARDO SANTOS,10.0,6.590000000000001,4.0,3.0,10.0,10.0,8.25,7.405714285714287
COL DIST MARIANO OSPINA PEREZ,6.0,8.790000000000001,8.0,2.0,10.0,7.050000000000001,10.0,7.405714285714287
CENT EDUC DIST RODRIGO ARENAS BETANCOURT,10.0,4.340000000000001,0.0,3.5,6.5,5.95,2.0,4.612857142857143
CEDIT FRANCISCO DE PAULA SANTANDER,0.75,8.45,8.0,4.5,8.0,10.0,8.5,6.885714285714286
CENT EDUC DIST ALEJANDRO OBREGON,6.0,7.5,6.0,1.0,7.0,10.0,8.5,6.571428571428571
COL DIST BENJAMIN HERRERA,3.75,9.0,8.0,5.0,8.25,10.0,6.5,7.214285714285714
CENT EDUC DIST EL JAZMIN,9.0,7.45,10.0,0.0,9.25,10.0,7.5,7.6000000000000005
COL GENERAL GUSTAVO ROJAS PINILLA,6.0,6.94,10.0,0.0,9.25,6.4,5.0,6.227142857142857
COL DIST U.B. CIUDAD DE BOGOTA,6.0,4.390000000000001,10.0,1.0,4.5,10.0,5.5,5.912857142857143
INEM FRANCISCO DE PAULA SANTANDER,6.5,7.15,10.0,3.5,5.75,10.0,4.0,6.7
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,0.0,6.630000000000001,0.0,3.0,8.25,10.0,9.5,5.340000000000001
COLEGIO RODOLFO LLINAS IED - SEDE PRINCIPAL,9.5,9.7,10.0,2.0,8.0,8.200000000000001,3.75,7.307142857142858
CENT EDUC DIST BAS Y MEDIA O.E.A,0.0,8.75,0.0,3.5,8.0,10.0,4.5,4.964285714285714
CEDID ALFONSO LOPEZ PUMAREJO,0.75,9.4,10.0,2.0,6.5,10.0,5.75,6.3428571428571425
COL DIST EDUC BAS Y MEDIA ATANASIO GIRARDOT,8.5,8.0,8.0,3.0,9.0,10.0,8.25,7.821428571428571
COL DIST CARLOS ARANGO VELEZ,0.0,9.0,0.0,3.5,8.0,10.0,5.25,5.107142857142857
CENT EDUC DIST MANUELA AYALA DE GAITAN,0.0,6.38,4.0,3.5,10.0,8.3,7.75,5.704285714285715
COL DIST HELADIA MEJIA HIJOS DE EDUCADORES,0.0,5.769999999999999,0.0,4.0,10.0,6.15,10.0,5.131428571428572
COL DIST LUIS CARLOS GALAN SARMIENTO,9.5,7.44,10.0,1.0,9.0,9.95,5.75,7.5200000000000005
COL DIST RAFAEL BERNAL JIMENEZ,7.0,1.6999999999999997,10.0,2.0,10.0,5.950000000000001,10.0,6.664285714285714
INST EDUC DIST JUAN LUIS  LONDOÑO,7.5,9.95,10.0,1.0,2.0,10.0,2.25,6.1000000000000005
CENT EDUC DIST REP FEDERAL DE ALEMANIA,2.75,6.969999999999999,6.0,2.0,6.0,10.0,5.5,5.602857142857142
CENT EDUC DIST ALQUERIA LA FRAGUA,2.25,9.05,10.0,2.0,6.75,10.0,5.5,6.507142857142857
CENT EDUC DIST NUEVA ESPERANZA,9.0,9.790000000000001,10.0,0.0,1.0,7.45,1.0,5.4628571428571435
CENT EDUC DIST SANTA LIBRADA,0.0,7.15,6.0,3.5,1.0,10.0,3.0,4.378571428571428
COLEGIO FERNANDO GONZALEZ OCHOA,4.0,7.85,10.0,1.0,1.0,8.05,2.25,4.878571428571429
CENT EDUC DIST MANUELA BELTRAN,0.75,6.99,10.0,2.0,3.0,10.0,4.25,5.284285714285715
ORLANDO FALS BORDA (ANTES BARRANQUILLITA),4.5,5.65,4.0,5.5,1.25,10.0,2.5,4.771428571428571
CENT EDUC DIST SAN BERNARDINO,9.5,7.5,10.0,1.0,1.25,9.150000000000002,2.5,5.842857142857143
CENT EDUC DIST NUEVA CONSTITUCION,5.0,7.2,10.0,1.0,8.0,8.850000000000001,3.0,6.1499999999999995
CENT EDUC DIST ALTAMIRA SUR ORIENTAL,2.25,9.73,10.0,3.0,2.75,10.0,2.5,5.747142857142857
COL DIST TOMAS RUEDA VARGAS,6.5,7.35,10.0,4.0,6.5,10.0,5.5,7.121428571428572
COL DIST EDUC BAS Y MEDIA LOS ALPES,4.5,7.540000000000001,10.0,1.0,4.0,10.0,3.0,5.72
CEDID CIUDAD BOLIVAR,2.0,5.1,10.0,2.5,3.0,10.0,3.5,5.1571428571428575
COLEGIO JOSÉ FRANCISCO SOCARRAS (IED) - SEDE PRINCIPAL,4.5,8.69,6.0,3.5,1.5,10.0,2.5,5.241428571428571
COL CUIDADELA EDUCATIVA BOSA (INS EDUC DIST),10.0,9.690000000000001,10.0,0.0,1.25,7.6000000000000005,1.25,5.684285714285714
CENT EDUC DIST MARRUECOS Y MOLINOS,5.0,9.5,10.0,5.0,3.5,10.0,4.5,6.785714285714286
CENT EDUC DIST NUEVA COLOMBIA,6.5,2.79,10.0,1.0,7.5,9.8,3.5,5.87
CENT EDUC DIST ISMAEL PERDOMO,3.75,9.15,10.0,7.5,3.0,10.0,3.0,6.628571428571428
CENT EDUC DIST CLASS,4.5,6.45,10.0,6.0,2.0,10.0,2.25,5.885714285714286
CENT EDUC DIST VILLA ELISA,2.75,5.509999999999999,10.0,3.0,7.75,9.5,5.25,6.251428571428571
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA,2.0,6.7,10.0,1.0,3.25,10.0,4.0,5.278571428571429
CENT EDUC DIST FRANCISCO DE PAULA SANTANDER,0.0,5.8,2.0,3.5,1.5,10.0,2.5,3.6142857142857143
CENT EDUC DIST GRAN YOMASA,2.0,9.9,10.0,1.0,1.0,10.0,3.25,5.307142857142857
CENT EDUC DIST JUAN REY,9.5,10.0,10.0,0.0,1.5,7.550000000000001,1.25,5.685714285714285
CENT EDUC DIST DON BOSCO IV,4.75,7.85,10.0,0.0,1.0,7.800000000000001,1.75,4.735714285714287
COL ANTONIO GARCIA (INS EDUC DIST),4.5,3.65,10.0,2.0,3.25,10.0,4.0,5.3428571428571425
CENT EDUC DIST COMFENALCO NUEVA ROMA,8.0,9.8,10.0,1.0,2.5,10.0,3.75,6.435714285714285
VENTIUN ANGELES (INST EDUC DIST),9.5,7.340000000000001,10.0,0.0,6.25,5.550000000000001,3.75,6.055714285714286
COL DIST EDUC BAS Y MEDIA ALBERTO LLERAS CAMARGO,4.75,1.3499999999999999,8.0,2.5,6.0,7.450000000000001,4.0,4.864285714285715
INST EDUC DIST LEONARDO POSADA PEDRAZA - SEDE PRINCIPAL,8.0,9.4,10.0,0.0,0.75,8.5,2.25,5.557142857142857
INST EDUC DIST FE Y ALEGRIA SAN IGNACIO,8.5,6.9,10.0,1.0,1.75,10.0,1.5,5.664285714285714
COL DIST SIMON BOLIVAR,2.0,8.1,8.0,2.0,10.0,9.5,5.25,6.4071428571428575
CENT EDUC DIST CALASANZ (BUENAVISTA),4.5,3.44,10.0,1.0,2.5,10.0,2.25,4.812857142857142
CENT EDUC DIST EL RODEO,4.5,7.65,10.0,1.0,4.0,10.0,3.0,5.735714285714286
COL DIST ANTONIO JOSE URIBE,7.5,0.0,0.0,9.0,10.0,10.0,7.0,6.214285714285714
CENT EDUC DIST ANTONIO VILLAVICENCIO,10.0,9.5,10.0,1.0,5.0,6.05,1.75,6.185714285714285
COL DE EDUC BAS Y MEDIA ESTANISLAO ZULETA,3.0,9.75,10.0,1.0,0.75,6.8500000000000005,1.75,4.728571428571429
CENT EDUC DIST RAFAEL URIBE URIBE,0.0,9.2,10.0,5.0,3.25,10.0,2.75,5.742857142857143
CENT EDUC DIST RAMON DE ZUBIRIA,0.0,0.0,6.0,5.0,8.0,10.0,3.75,4.678571428571429
CENT EDUC DIST REINO DE HOLANDA,3.25,6.75,10.0,0.0,5.75,10.0,6.5,6.035714285714286
COL VIRGINIA GUTIERREZ DE PINEDA (INS EDUC DIST),0.5,1.2299999999999995,10.0,4.5,7.5,10.0,4.5,5.461428571428572
INST EDUC DIST EL BOSQUE,6.0,7.95,10.0,1.0,1.0,8.95,2.5,5.3428571428571425
CENT EDUC DIST ISLA DEL SOL,7.25,9.540000000000001,10.0,0.0,3.75,10.0,3.75,6.327142857142857
CENT EDUC DIST LA GIRALDA,6.5,7.7,10.0,4.5,7.25,10.0,4.0,7.135714285714286
GERARDO MOLINA RAMIREZ (INST EDUC DIST),5.0,2.27,10.0,1.0,3.25,5.25,2.5,4.1814285714285715
INST TEC IND PILOTO,2.0,2.5999999999999996,10.0,4.5,6.5,10.0,6.25,5.978571428571429
COL DIST DE USME,10.0,9.84,10.0,0.0,0.25,2.9000000000000004,0.75,4.82
CENT EDUC DIST MIRAVALLE,5.0,7.3,6.0,6.0,1.0,10.0,3.0,5.471428571428571
CENT EDUC DIST SOTAVENTO,5.5,5.7,10.0,1.0,3.25,10.0,4.0,5.635714285714286
CENT EDUC DIST SAN MARTIN DE PORRES,5.0,9.15,10.0,0.0,10.0,8.950000000000001,8.75,7.4071428571428575
COL DIST TOBERIN,8.5,9.030000000000001,10.0,5.0,6.75,2.6,5.75,6.804285714285714
CENT EDUC DIST PAULO VI,5.5,8.14,8.0,7.0,4.75,10.0,4.25,6.805714285714286
COL DIST EDUC BAS Y MEDIA PROSPERO PINZON,0.5,3.48,8.0,2.0,7.0,10.0,4.5,5.068571428571429
CENT EDUC DIST FRANCISCO DE MIRANDA,8.0,9.34,10.0,1.0,4.5,10.0,4.25,6.727142857142858
CENT EDUC DIST PABLO NERUDA,10.0,5.65,4.0,3.5,4.0,5.65,2.5,5.042857142857143
SALUDCOOP NORTE (INST EDUC DIST),9.5,6.8,10.0,2.0,5.5,2.3500000000000005,7.5,6.235714285714286
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,1.5,6.03,10.0,2.0,10.0,6.9,10.0,6.632857142857143
COL CARLO FEDERICI (INST EDUC DIST),10.0,9.85,10.0,2.5,1.75,4.300000000000001,1.25,5.6642857142857155
CENT EDUC DIST DE USAQUEN (ANTIGUA COLONIA ESCOLAR DE VACACI,10.0,8.95,10.0,0.0,10.0,2.3,4.75,6.571428571428571
CENT EDUC DIST PRADO VERANIEGO II,6.5,8.7,8.0,1.0,10.0,4.05,5.0,6.178571428571429
CENT EDUC DIST ANTONIO JOSE DE SUCRE,8.0,6.8,10.0,1.0,10.0,6.050000000000001,8.75,7.228571428571428
CENT EDUC DIST MANUEL ELKIN PATARROYO,10.0,10.0,10.0,0.0,10.0,7.200000000000001,4.0,7.314285714285715
