OBJECTID_1	Nombre	Direccion	Caracter	POINT_X	POINT_Y
733	SALON COMUNAL LA VEGUITA	KR 82 I 59 B 23 SUR	PUBL	-74186445948699900	4616959817020000
733	SALON COMUNAL LA VEGUITA	KR 82 I 59 B 23 SUR	PUBL	-74186450543700000	4616970664170000
744	INSTITUTO DE INVESTIGACION ALEXANDER VON HUMBOLDT - IAVH	CL 28 A 15 19	PUBL	-74073401036099900	4616663578200000
744	INSTITUTO DE INVESTIGACION ALEXANDER VON HUMBOLDT - IAVH	CL 28 A 15 19	PUBL	-74073297166100000	4616735359970000
744	INSTITUTO DE INVESTIGACION ALEXANDER VON HUMBOLDT - IAVH	CL 28 A 15 19	PUBL	-74073229927699900	4616639144930000
744	INSTITUTO DE INVESTIGACION ALEXANDER VON HUMBOLDT - IAVH	CL 28 A 15 19	PUBL	-74073297503899900	4616585721320000
744	INSTITUTO DE INVESTIGACION ALEXANDER VON HUMBOLDT - IAVH	CL 28 A 15 19	PUBL	-74073328994199900	4616560826190000
744	INSTITUTO DE INVESTIGACION ALEXANDER VON HUMBOLDT - IAVH	CL 28 A 15 19	PUBL	-74073340502799900	4616577241250000
744	INSTITUTO DE INVESTIGACION ALEXANDER VON HUMBOLDT - IAVH	CL 28 A 15 19	PUBL	-74073340710799900	4616577537790000
744	INSTITUTO DE INVESTIGACION ALEXANDER VON HUMBOLDT - IAVH	CL 28 A 15 19	PUBL	-74073401036099900	4616663578200000
748	TEATRO LA MAMA	AC 63 9 60	PUBL	-74061229108000000	4648987673710000
748	TEATRO LA MAMA	AC 63 9 60	PUBL	-74061169710900000	4648942097630000
748	TEATRO LA MAMA	AC 63 9 60	PUBL	-74061316567299900	4648747534380000
748	TEATRO LA MAMA	AC 63 9 60	PUBL	-74061378110199900	4648794760410000
748	TEATRO LA MAMA	AC 63 9 60	PUBL	-74061287052899900	4648912652210000
748	TEATRO LA MAMA	AC 63 9 60	PUBL	-74061229108000000	4648987673710000
647	SALON COMUNAL BARRIO LOS HUERTOS	No Disponible	PRIV	-74177991763199900	4589218984800000
647	SALON COMUNAL BARRIO LOS HUERTOS	No Disponible	PRIV	-74177883665099900	4589218853950000
647	SALON COMUNAL BARRIO LOS HUERTOS	No Disponible	PRIV	-74177883697200000	4589191735430000
647	SALON COMUNAL BARRIO LOS HUERTOS	No Disponible	PRIV	-74177883730299900	4589164616990000
647	SALON COMUNAL BARRIO LOS HUERTOS	No Disponible	PRIV	-74177883794600000	4589110379960000
647	SALON COMUNAL BARRIO LOS HUERTOS	No Disponible	PRIV	-74177883836299900	4589076029870000
647	SALON COMUNAL BARRIO LOS HUERTOS	No Disponible	PRIV	-74177991740699900	4589096951590000
